IATA,Nome,País,Grau,DC,BC,EC
GKA,Goroka Airport,Papua New Guinea,8,0.0013188262446422684,0.0,2.3496537110779648e-06
MAG,Madang Airport,Papua New Guinea,14,0.0023079459281239697,1.7395894405833713e-06,5.972523349010133e-07
HGU,Mount Hagen Kagamuga Airport,Papua New Guinea,17,0.00280250576986482,2.745289585920633e-06,2.3620880702624107e-06
LAE,Nadzab Airport,Papua New Guinea,18,0.002967359050445104,3.0171004360117845e-06,2.3718751429674297e-06
POM,Port Moresby Jacksons International Airport,Papua New Guinea,64,0.010550609957138147,0.007309999459096409,0.0005559639177793967
WWK,Wewak International Airport,Papua New Guinea,8,0.0013188262446422684,3.2617302010938214e-07,5.991090915630831e-07
UAK,Narsarsuaq Airport,Greenland,10,0.0016485328058028356,0.0006830063041090462,2.6762725698698305e-08
GOH,Godthaab / Nuuk Airport,Greenland,16,0.002637652489284537,0.003030582254176306,3.764482219777335e-06
SFJ,Kangerlussuaq Airport,Greenland,14,0.0023079459281239697,0.00033122870192107756,2.166017514421654e-05
THU,Thule Air Base,Greenland,2,0.0003297065611605671,0.0,3.1225783141210006e-17
AEY,Akureyri Airport,Iceland,2,0.0003297065611605671,0.0,4.16880900551389e-12
EGS,Egilsstaðir Airport,Iceland,2,0.0003297065611605671,0.0,4.16880900551389e-12
HFN,Hornafjörður Airport,Iceland,0,0.0,0.0,3.2879294820093764e-76
HZK,Húsavík Airport,Iceland,0,0.0,0.0,3.2879294820093764e-76
IFJ,Ísafjörður Airport,Iceland,2,0.0003297065611605671,0.0,4.16880900551389e-12
KEF,Keflavik International Airport,Iceland,66,0.010880316518298714,0.018462928669494044,0.0035554269673863546
PFJ,Patreksfjörður Airport,Iceland,0,0.0,0.0,3.2879294820093764e-76
RKV,Reykjavik Airport,Iceland,8,0.0013188262446422684,0.0005125809011018941,3.961523658447353e-09
SIJ,Siglufjörður Airport,Iceland,0,0.0,0.0,3.2879294820093764e-76
VEY,Vestmannaeyjar Airport,Iceland,0,0.0,0.0,3.2879294820093764e-76
YAM,Sault Ste Marie Airport,Canada,8,0.0013188262446422684,2.8050879729406863e-05,0.00011350587643395001
YAY,St. Anthony Airport,Canada,6,0.0009891196834817012,0.0010136642032449322,2.248231160116469e-06
YAZ,Tofino / Long Beach Airport,Canada,0,0.0,0.0,3.2879294820093764e-76
YBB,Kugaaruk Airport,Canada,0,0.0,0.0,3.2879294820093764e-76
YBC,Baie Comeau Airport,Canada,8,0.0013188262446422684,0.0,8.588184136969448e-05
